Academic Year,zip,Total Enrollment,Free &ReducedMealProgram,Foster,Homeless,MigrantProgram,Direct Certification,UnduplicatedFRPM Eligible Count,English Learner (EL),CALPADS Unduplicated Pupil Count(UPC),zipcode,city,UPC/total,Direct/total
2019-01-01,91901,1888,215,12,3,0,340,554,93,597,91901,Alpine,0.3162076271186441,0.18008474576271186
2019-01-01,91902,1390,592,9,2,0,260,594,300,703,91902,Bonita,0.5057553956834533,0.18705035971223022
2019-01-01,91905,168,105,3,0,0,80,109,16,111,91905,Boulevard,0.6607142857142857,0.47619047619047616
2019-01-01,91906,459,306,2,7,0,169,316,111,346,91906,Campo,0.7538126361655774,0.3681917211328976
2019-01-01,91910,15579,9257,15,121,2,4525,9418,3921,10174,91910,Chula vista,0.6530586045317415,0.290455099813852
2019-01-01,91911,13591,10152,56,219,1,4885,10257,5138,11197,91911,Chula vista,0.8238540210433375,0.35942903391950554
2019-01-01,91913,13156,4357,23,65,0,1778,4422,1505,5128,91913,Chula vista,0.3897841289145637,0.13514746123441776
2019-01-01,91914,4308,1050,5,48,0,500,1074,596,1431,91914,Chula vista,0.3321727019498607,0.11606313834726091
2019-01-01,91915,7771,2283,8,7,0,1029,2291,977,2765,91915,Chula vista,0.3558100630549479,0.13241539055462617
2019-01-01,91916,211,91,2,6,0,57,94,9,97,91916,Descanso,0.4597156398104265,0.27014218009478674
2019-01-01,91932,5717,4099,21,251,21,2517,4161,2208,4555,91932,Imperial beach,0.7967465453909393,0.44026587370998777
2019-01-01,91935,743,384,1,22,0,243,409,121,428,91935,Jamul,0.576043068640646,0.32705248990578734
2019-01-01,91941,6975,3519,17,164,4,1812,3626,809,3817,91941,La mesa,0.5472401433691756,0.2597849462365591
2019-01-01,91942,2534,1012,11,33,0,608,1056,184,1103,91942,La mesa,0.43528018942383584,0.23993685872138912
2019-01-01,91944,2261,1261,3,50,0,695,1269,229,1291,,,0.5709862892525431,0.3073861123396727
2019-01-01,91945,2814,1925,19,27,0,1155,1975,714,2112,91945,Lemon grove,0.7505330490405118,0.41044776119402987
2019-01-01,91950,14053,10533,39,701,18,6207,11212,5405,12035,91950,National city,0.8564007685191773,0.44168504945563225
2019-01-01,91962,733,390,4,4,0,236,430,129,462,91962,Pine valley,0.6302864938608458,0.3219645293315143
2019-01-01,91963,288,126,0,0,0,92,179,214,260,91963,Potrero,0.9027777777777778,0.3194444444444444
2019-01-01,91977,8426,6320,36,414,3,3524,6376,2139,6646,91977,Spring valley,0.788749109897935,0.4182292902919535
2019-01-01,91978,2454,1046,7,20,0,550,1056,278,1152,91978,Spring valley,0.46943765281173594,0.2241238793806031
2019-01-01,92003,1840,544,3,197,30,299,601,267,674,92003,Bonsall,0.36630434782608695,0.1625
2019-01-01,92004,373,335,1,0,7,159,336,137,343,92004,Borrego springs,0.9195710455764075,0.4262734584450402
2019-01-01,92007,655,81,1,0,0,81,93,39,107,92007,Cardiff by the s,0.1633587786259542,0.12366412213740458
2019-01-01,92008,8069,2748,7,99,17,1563,2779,786,2899,92008,Carlsbad,0.35927624240922046,0.1937043004089726
2019-01-01,92009,7861,854,10,13,10,580,891,385,1070,92009,Carlsbad,0.13611499809184582,0.07378196158249586
2019-01-01,92010,1326,292,1,5,0,154,297,27,304,,,0.22926093514328807,0.11613876319758673
2019-01-01,92011,1078,217,0,4,1,122,223,50,230,,,0.21335807050092764,0.11317254174397032
